Наименование,Цена,Ед,Вариант,Артикул,Бренд
Таганрогский Кирпич М-150,24.2,₽/шт,,,
Кугоейский Кирпич М-125,24.46,₽/шт,,,
Таганрогский Кирпич М-125,20.87,₽/шт,,,
Кугоейский Кирпич М-150,25.01,₽/шт,,,
Чалтырский Кирпич М-125,20.87,₽/шт,,,
Чалтырский Кирпич М-100,19.77,₽/шт,,,
Гуковский Кирпич М-100,19.77,₽/шт,,,
Гуковский Кирпич М-125,20.87,₽/шт,,,
Старощербиновский Кирпич М125 (полнотелый),24.2,₽/шт,,,
Шахтинский Кирпич М-150 (3 сквозных отверстия),28.72,₽/шт,,,
Кубанский Кирпич М-200 (6 сквозных отверстий),25.3,₽/шт,,,
Кубанский Кирпич М-150 (6 сквозных отверстий),24.2,₽/шт,,,
Шахтинский Кирпич М-150 (3 сквозных отверстия),27.05,₽/шт,,,
Шахтинский Кирпич М-100 (полнотелый),29.55,₽/шт,,,
Шахтинский Кирпич М-150 (полнотелый) ,32.22,₽/шт,,,
Шахтинский Кирпич М-150 (полнотелый),32.22,₽/шт,,,
Лицевой Солома Сланец,71.26,₽/шт,Солома.,,Белогородская керамика
Лицевой Солома Краст,71.28,₽/шт,Солома,,Белогородская керамика
Лицевой Солома Руст,71.28,₽/шт,Солома.,,Белогородская керамика
Лицевой Солома Гладкий,71.28,₽/шт,Солома.,,Белогородская керамика
Лицевой Коричневый Сланец,75.27,₽/шт,Коричневый.,,Белогородская керамика
Лицевой Коричневый Краст,75.27,₽/шт,Коричневый.,,Белогородская керамика
Лицевой Коричневый Руст,75.27,₽/шт,Коричневый.,,Белогородская керамика
Лицевой Коричневый Гладкий,75.27,₽/шт,Коричневый.,,Белогородская керамика
Лицевой Красный Сланец,30.3,₽/шт,Красный,,Белогородская керамика
Лицевой Красный Краст,30.3,₽/шт,Красный,,Белогородская керамика
Лицевой Красный Руст,30.3,₽/шт,Красный,,Белогородская керамика
Кирпич Лицевой Красный Гладкий 1НФ,30.3,₽/шт,Красный,,Белогородская керамика
Белый Город Сланец,72.34,₽/шт,Белый,,Белогородская керамика
Белый Город Краст,72.34,₽/шт,Белый,,Белогородская керамика
Белый Город Руст,72.34,₽/шт,Белый,,Белогородская керамика
Белый Город Гладкий,72.34,₽/шт,Белый,,Белогородская керамика
Кирпич Лицевой STROMA FLASH ROYAL Кора дуба+инкрустация,67.02,₽/шт,Комбинированный,,
Кирпич Лицевой STROMA FLASH KARE Кора дуба+инкрустация,61.7,₽/шт,Комбинированный,,
Кирпич Лицевой STROMA FLASH FLAME Кора дуба,62.44,₽/шт,Комбинированный,,
Кирпич Лицевой STROMA FLASH FLAME Гладкий,62.44,₽/шт,Комбинированный,,
Кирпич Лицевой STROMA FLASH BORDO Кантри,76.6,₽/шт,Бордо,,
Кирпич Лицевой STROMA FLASH BORDO Кора дуба,76.6,₽/шт,Бордо,,
Кирпич Лицевой STROMA FLASH BORDO Руст,76.6,₽/шт,Бордо,,
Кирпич Лицевой STROMA FLASH BORDO Мадейра,76.6,₽/шт,Бордо,,
Кирпич Лицевой STROMA FLASH BORDO Гладкий,76.6,₽/шт,Бордо,,
Кирпич Лицевой Руффо Проникающие материалы,74.19,₽/шт,Светлый,,
Кирпич Лицевой Каркано Декоративная поверхность,74.19,₽/шт,Светлый,,
Кирпич Лицевой Солари Кора дуба + инкрустация,55.11,₽/шт,Солари,,
Кирпич Лицевой Тополь Кора дуба + инкрустация,58.51,₽/шт,Тополь.,,
Кирпич Лицевой Кедр Кора дуба + инкрустация,60.09,₽/шт,Кедр.,,
Кирпич Лицевой Лава Кора дуба + инкрустация,60.09,₽/шт,Лава,,
Кирпич Лицевой Береза Кора дуба + инкрустация,48.94,₽/шт,Берёза,,
Кирпич Лицевой Латте Бархат,63.83,₽/шт,Латте,,
Кирпич Лицевой Латте Рустик,63.83,₽/шт,Латте,,
Кирпич Лицевой Латте Кора дуба,63.83,₽/шт,Латте,,
Кирпич Лицевой Латте Гладкий,63.83,₽/шт,Латте,,
Кирпич Лицевой Красный Бархат,34.52,₽/шт,Красный,,
Кирпич Лицевой Красный Рустик,34.52,₽/шт,Красный,,
Кирпич Лицевой Красный Кора дуба,34.52,₽/шт,Красный,,
Кирпич Лицевой Красный Гладкий,34.52,₽/шт,Красный,,
Кирпич Лицевой Коричневый Бархат,52.52,₽/шт,Коричневый.,,
Кирпич Лицевой Коричневый Кора дуба,52.52,₽/шт,Коричневый.,,
Кирпич Лицевой Коричневый Гладкий,52.52,₽/шт,Коричневый.,,
Кирпич Лицевой Слоновая кость Бархат,46.81,₽/шт,Слоновая кость.,,
Кирпич Лицевой Слоновая кость Рустик,46.81,₽/шт,Слоновая кость.,,
Кирпич Лицевой Слоновая кость Кора дуба,46.81,₽/шт,Слоновая кость.,,
Кирпич Лицевой Слоновая кость Гладкий,46.81,₽/шт,Слоновая кость.,,
"Кирпич полнотелй ручной формовки Коллекция ""Патина""",77.77,₽/шт,Патина,,
"Кирпич полнотелй ручной формовки Коллекция ""Феррум""",71.77,₽/шт,Феррум,,
"Кирпич полнотелй ручной формовки Коллекция ""Бронза""",71.77,₽/шт,Бронзовый.,,
"Кирпич полнотелй ручной формовки Коллекция ""Медь""",69.65,₽/шт,Медный.,,
"Кирпич одинарный пустотелый Красный ""Руст"" ",28.58,₽/шт,,,
"Кирпич одинарный пустотелый Красный ""Руст""",31.91,₽/шт,Красный,,
"Кирпич одинарный пустотелый Красный ""Береста""",31.91,₽/шт,Красный,,
"Кирпич одинарный Лицевой Красный ""Гладкий"" с ФАСКОЙ",28.03,₽/шт,Красный,,
"Кирпич одинарный Темно-коричневый ""Гладкий""",57.27,₽/шт,Коричневый.,,
"Кирпич одинарный Светло-коричневый ""БЕРЕСТА"" М150",34.22,₽/шт,Светло-коричневый.,,Донской кирпич
"Кирпич одинарный М150 КОРИЧНЕВЫЙ ""Береста""",44.49,₽/шт,Коричневый.,,
"Кирпич одинарный М150 КОРИЧНЕВЫЙ ""Руст""",44.49,₽/шт,Коричневый.,,
Кирпич одинарный М150 КОРИЧНЕВЫЙ ГЛАДКИЙ,44.49,₽/шт,Коричневый.,,
"Кирпич одинарный лицевой ""ПЕРСИК"" М150",29.49,₽/шт,Персик.,,
"Кирпич одинарный лицевой с ФАСКОЙ ""СОЛОМА"" БЕРЕСТА",43.99,₽/шт,Солома.,,
"Кирпич одинарный лицевой с ФАСКОЙ ""СОЛОМА"" ГЛАДКИЙ М175",43.99,₽/шт,Солома.,,
Кирпич одинарный СВЕТЛЫЙ ЛИЦЕВОЙ с ФАСКОЙ Береста М175,46.11,₽/шт,Светлый,,
Кирпич одинарный СВЕТЛЫЙ ЛИЦЕВОЙ БЕРЕСТА с ФАСКОЙ М150,46.11,₽/шт,Бежевый.,,
Кирпич одинарный М150 ВИШНЯ,46.11,₽/шт,Вишня.,,
